Democratics,Republicans,Party,State,County
-2571.065067,-1962.038497,0,TN,hardin
65910.16225,51769.1459,0,NE,dundy
280.0310991,-74.20119652,0,VA,chesapeake city
16687.31535,-10886.28453,1,NE,hayes
7317.660841,6891.004006,0,TX,parmer
-4225.800484,4912.149499,0,NE,buffalo
-3242.134471,6514.095743,0,PA,carbon
-12012.5041,4720.738743,1,NJ,atlantic
7201.998651,-11434.29963,0,TX,kimble
65931.12802,44425.07951,1,NE,seward
70446.83796,37321.50666,0,OH,lake
15146.35419,23251.75874,0,TX,tom green
25911.05488,40075.88875,0,TX,mason
134451.5872,96854.46749,1,NV,humboldt
-3034.04929,9174.492401,0,IN,noble
-6614.980309,20832.39231,0,WI,dunn
7363.746876,4093.526798,0,NY,lewis
-1517.435934,-6257.299677,0,IN,orange
-4044.196033,5261.152923,0,TN,crockett
-10248.46697,-3185.279559,0,MT,beaverhead
-1038.739223,15111.45094,0,MN,le sueur
3534.496367,10336.5202,0,MI,berrien
46312.25741,44115.46412,0,NY,otsego
28143.15278,19006.37705,0,TX,matagorda
128.1688895,-2595.961421,0,OH,marion
8505.042298,14159.86305,0,WI,washburn
1543.335874,11972.08899,0,TN,cocke
-33636.19046,6998.632065,1,TX,orange
-2050.175486,3527.117785,0,MT,yellowstone
3426.62298,6000.463678,0,MD,carroll
120526.2222,68594.88369,1,UT,wayne
10987.42193,14868.6722,0,WY,park
29504.51339,32992.86937,0,PA,pike
5442.886028,16391.77374,0,MI,lenawee
46396.97476,42329.40754,0,NJ,burlington
50515.7661,46750.55237,0,WI,iowa
129819.252,87658.71419,0,PA,huntingdon
81783.23643,59085.35111,1,PA,berks
-8077.009837,5077.415502,0,IN,knox
22124.7969,19565.93841,0,ND,ramsey
11959.71835,9846.750346,0,WA,klickitat
4049.217782,12773.87896,0,TX,howard
1612.937037,-1211.056619,0,MD,queen anne's
10652.11408,11615.94134,0,VA,buckingham
2770.809675,7656.241793,0,VA,rockingham
17089.95133,19146.11662,0,IN,henry
4655.092891,1156.255411,0,CT,litchfield
2195.410212,3685.433217,0,PA,erie
1754.072222,10311.4634,0,NY,albany
7647.167722,7895.372164,0,PA,bucks
-2574.406513,6412.131926,0,WI,buffalo
-16126.16174,-9300.202207,0,PA,mckean
